publishedAt,authorDisplayName,textDisplay,likeCount
2024-08-24T01:54:55Z,@clone_5801,"Aku jadi pengen share ceritaku juga, baru aja aku alami sebelum libur semester an. <br><br>Jadi sebelum libur itu aku jadi team manager buat suatu kompetisi gitu. Salah satu tugas aku itu ngurus peminjaman kelas buat latihan  peserta kompetisi ini nih, dan tiap peminjaman harus ada tanda tangan dari ketua koordinator organisasi gitu. Waktu itu sekitar jam 5 sore, lalu baru ketemu bapaknya jam setengah 7 an gitu😭. Bapak nya ini susah banget ditemuin, makanya waktu kejadian ini aku bela bela in ke kampus di jam ini biar cepet selesai minta tdd nya. <br>Singkat cerita aku pergi ke ruang para dosen di lantai dua, tiap ruangan dosen dihubungkan sama lorong panjang gitu, dan di akhir lorong ada pintu yg model dua pintu dg kaca buram/blur menuju ke area kamar mandi. Lorongnya lumayan remang remang, dan lampu yg dipake itu lampu LED yg udah tua gitu loh, trs model bangunan ini kek model model bangunan tua gitu , di tambah lagi ini uda menjelang gelap, suasana antik nya kerasa banget. <br>Lalu aku tanya ke penjaga, bapak ini dimana trs dijawab &quot;oh iya baru aja datang, masuk aja ke ruangan xx&quot; nah. Oke. Berarti aku bener bapaknya uda sampe. Trs aku menelusuri lorong, sambil ngeliat papan ruangan di atas pintu gak lupa juga aku intip intip dikit. Gatau kenapa pas masuk lorong udaranya sejuk banget padahal gada AC. Aku nemu ruangannya, trus masuk ketemu bapaknya, udah deh selesai, kira kira 20 menit an soalnya bapaknya nanya nanya soal lombanya juga. Aku terus keluar, nundukin kepala, trus reflek menghadap ke pintu ke arah kamar mandi itu. Dan tau ga? Yap .<br>Ada Cewe, aga bungkuk. Aku inget banget penampakannya mirip kaya gambar di poster sadako yg lagi berdiri. Dua tangan di samping pucet banget kulitnya, trs nunduk. Persis kaya gitu. Sebagian bahunya ketutupan pintu, dan dia diem aja disana dengan gaun merah compang campingg. Aku inget banget dia itu BASAH, airnya NETES NETES dari tubuh dia.<br>Aku cuma membeku disitu. Bener kata orang kalau ketemu hantu itu rasanya beku. Parah. GA BISA GERAK, dan mata aku tertuju ke dia yg dari tadi diem aja masih di posisi itu. <br><br>Sampe akhirnya ada yg nepuk aku, dan itu bapak dosennya yg dari tadi ngeliat aku membatu di depan ruangan.<br>&quot;Kenapa dek? Ko di tanyain diem aja?&quot; Dan aku langsung LEMES pas bapaknya berdiri nutupin pandangan aku dari itu cewe baju merah. Bapaknya bingung sambil ngeliat ke lorong. &quot;Kenapa dek?&quot; Disitu aku ga ngomong apa apa, syok berat. <br>Setelah ngatur napas, aku pamit lagi, trs pulang.<br><br>Aku gabisa tidur, dan seminggu setelahnya masi takut kalau ngeliat tu lorong sialan. Gamau lagi aku sendirian kalau ada urusan ke ruang dosen.",0
2024-08-24T00:22:48Z,@Firahma96,Sepertinya si sandi seorang yg penakut betul enggak sich?,0
2024-08-23T16:58:07Z,@iinshuzantie8786,"Aq lebih seneng sandy disini santai gx penuh tekanan, mngkin harus nyaman &amp; nyambung dulu ya dan😊😊😊",0
2024-08-23T07:18:20Z,@user-sr6cw5br1g,"Belum selesai nonton video ini sambil belum selesai nilepan baju putih adik ku seragam putih sekolah adikku,,,,dan baju panjang adikku,,,, dan baju pendek adikku,,,, dan sambil nemenin bayi ku yg lagi tidur di ayunan dan sambil ngayun ngayun bayi ku",0
2024-08-22T14:25:45Z,@tommyasgar,"Nessie demi apapun aku pernah ngeliat itu sosok kuntilanak cowok persis di dpn aku. Bikin aku teriak sejadi2nya. Sebelum ngeliat itu aku gak tau itu sosok hantu apa. Singkat cerita bbrp waktu kemudian aku searching apa yg aku liat. Dan aju baru tu itu sosok kuntilanak cowok. Sampai skrg pun aku masih ingat wajahnya, tubuhnya, posisinya. Krn kita tatap2an. Litteraly tatap2an. Serem banget Nes. Demi apapun",0
2024-08-22T08:14:27Z,@erknufficiale487,sandy wajah.x kayak nahan tawa siii 😭,0
2024-08-22T02:32:39Z,@fernandarusli5492,"jadi inget salah satu kejadian yang aku sm tmnku alamin dikampus juga, jd waktu itu aku sm temenku lagi ikut rapat ukm, kita pulang sampe jam 9 malem saat itu, as usual kampus jam segitu udah sepiiii. aku sm tmnku ini, kita berdua emg receh bgt orangnya kita lg bercanda2, lg ketawa2 sambil mau ke toilet krn bosen bgt wkwkkw, ketoilet lah kita masih ketawa2 ngetawain orang kan kita, galama pas kita selesai, posisinya lg ngaca di toilet tbtb ada yg ngetawain kita, suaranya jelas dan terasa deket  kwkwkwkw kacau, itu kita lgsg diem, tatap2an sambil nanya &quot;lu denger ga?&quot; tmnku jawwb &quot;denger&quot; wkwkwk. aku lgsg bukain satu2 bilik kamar mandi, ternyata disitu cuman ada kita berdua.",0
2024-08-21T08:34:56Z,@user-sr6cw5br1g,"Baru pertama kali mendengar kan nerror ini versi pengalaman horor di kampus ini,,,,, sambil nyapu lantai kamar ku,,, dan ruang tv,,, dan depan rumah ku,, dan nyapu ngeprukan kasur ku dan bersihin kasur ku dan sambil tata rapih bantal dan guling dan selimut ku dan sambil nemenin bayi ku yg lagi melek dan tengkurap sendiri",0
2024-08-21T07:04:04Z,@angelryl1832,baru tau kuntilanak cowok Juga😂,0
2024-08-21T06:37:16Z,@nenknonk9557,Semua y di kampus.. Kampus seserem itu ya,0
2024-08-21T06:22:13Z,@diraradeara,Wkwkwk lebih takut gak gpa 5.0 yak san✨️🤣🤣,0
2024-08-21T06:02:47Z,@user-jc4sf3qy5r,AKUSANDY🎉🎉🎉🎉🎉,1
2024-08-21T05:10:06Z,@annidaraudlia3715,Lengah dikit ending fairy 😭,0
2024-08-21T02:24:03Z,@Hexx-Avalon,"Gw 2 kali nginap di laboratorium di kampus, pas mendekati jam 5 pagi gw baru mau tidur abis begadang ngerjain PKM, tiba2 ada suara ribut kayak seng jatuh dari lantai 3 ke lantai 2.<br><br>Trus 1 lagi pas jam 5 juga gw lagi nonton anime di komputer lab di belakang komputernya ada jendela, trus tiba2 ada kain putih lewat pas diluar jendela, padahal itu jendela lantai 2<br><br>Di kedua kejadian ini temen2 gw lagi pada tidur",0
2024-08-21T00:30:16Z,@radiahrizky348,MY 2 IDOL COLLAB😭😭🌟🌟🌟,0
